[1979, 'Australia', 'Canada', 'Birmingham', 'ODI # 70', 'Australia', '7 wickets', 'Jun 16, 1979', 65059]
[1979, 'England', 'Pakistan', 'Leeds', 'ODI # 71', 'England', '14 runs', 'Jun 16, 1979', 65060]
[1979, 'England', 'New Zealand', 'Manchester', 'ODI # 72', 'England', '9 runs', 'Jun 20, 1979', 65061]
[1979, 'Pakistan', 'West Indies', 'The Oval', 'ODI # 73', 'West Indies', '43 runs', 'Jun 20, 1979', 65062]
[1979, 'England', 'West Indies', "Lord's", 'ODI # 74', 'West Indies', '92 runs', 'Jun 23, 1979', 65063]
[1979, 'Australia', 'West Indies', 'Sydney', 'ODI # 75', 'Australia', '5 wickets', 'Nov 27, 1979', 65287]
[1979, 'England', 'West Indies', 'Sydney', 'ODI # 76', 'England', '2 runs', 'Nov 28, 1979', 65288]
[1979, 'Australia', 'England', 'Melbourne', 'ODI # 77', 'England', '3 wickets', 'Dec 8, 1979', 65289]
[1979, 'Australia', 'West Indies', 'Melbourne', 'ODI # 78', 'West Indies', '80 runs', 'Dec 9, 1979', 65290]
[1979, 'Australia', 'England', 'Sydney', 'ODI # 79', 'England', '72 runs', 'Dec 11, 1979', 65291]
[1979, 'Australia', 'West Indies', 'Sydney', 'ODI # 80', 'Australia', '7 runs', 'Dec 21, 1979', 65292]
[1979, 'England', 'West Indies', 'Brisbane', 'ODI # 81', 'West Indies', '9 wickets', 'Dec 23, 1979', 65293]
[1979, 'Australia', 'England', 'Sydney', 'ODI # 82', 'England', '4 wickets', 'Dec 26, 1979', 65294]
[1980, 'Australia', 'England', 'Sydney', 'ODI # 83', 'England', '2 wickets', 'Jan 14, 1980', 65295]
[1980, 'England', 'West Indies', 'Adelaide', 'ODI # 84', 'West Indies', '107 runs', 'Jan 16, 1980', 65296]
[1980, 'Australia', 'West Indies', 'Sydney', 'ODI # 85', 'Australia', '9 runs', 'Jan 18, 1980', 65297]
[1980, 'England', 'West Indies', 'Melbourne', 'ODI # 86', 'West Indies', '2 runs', 'Jan 20, 1980', 65298]
[1980, 'England', 'West Indies', 'Sydney', 'ODI # 87', 'West Indies', '8 wickets', 'Jan 22, 1980', 65299]
[1980, 'New Zealand', 'West Indies', 'Christchurch', 'ODI # 88', 'New Zealand', '1 wicket', 'Feb 6, 1980', 64172]
[1980, 'England', 'West Indies', 'Leeds', 'ODI # 89', 'West Indies', '24 runs', 'May 28-29, 1980', 64965]
[1980, 'England', 'West Indies', "Lord's", 'ODI # 90', 'England', '3 wickets', 'May 30, 1980', 64966]
[1980, 'England', 'Australia', 'The Oval', 'ODI # 91', 'England', '23 runs', 'Aug 20, 1980', 64967]
[1980, 'England', 'Australia', 'Birmingham', 'ODI # 92', 'England', '47 runs', 'Aug 22, 1980', 64968]
[1980, 'Pakistan', 'West Indies', 'Karachi', 'ODI # 93', 'West Indies', '4 wickets', 'Nov 21, 1980', 64173]
[1980, 'Australia', 'New Zealand', 'Adelaide', 'ODI # 94', 'New Zealand', '3 wickets', 'Nov 23, 1980', 65300]
[1980, 'Australia', 'New Zealand', 'Sydney', 'ODI # 95', 'Australia', '94 runs', 'Nov 25, 1980', 65301]
[1980, 'Pakistan', 'West Indies', 'Sialkot', 'ODI # 96', 'West Indies', '7 wickets', 'Dec 5, 1980', 64174]
[1980, 'Australia', 'India', 'Melbourne', 'ODI # 97', 'India', '66 runs', 'Dec 6, 1980', 65302]
[1980, 'Australia', 'New Zealand', 'Melbourne', 'ODI # 98', 'Australia', '4 wickets', 'Dec 7, 1980', 65303]
[1980, 'India', 'New Zealand', 'Perth', 'ODI # 99', 'India', '5 runs', 'Dec 9, 1980', 65304]
[1980, 'Australia', 'India', 'Sydney', 'ODI # 100', 'Australia', '9 wickets', 'Dec 18, 1980', 65305]
[1980, 'Pakistan', 'West Indies', 'Lahore', 'ODI # 101', 'West Indies', '7 runs', 'Dec 19, 1980', 64175]
[1980, 'India', 'New Zealand', 'Brisbane', 'ODI # 102', 'New Zealand', '3 wickets', 'Dec 21, 1980', 65306]
[1980, 'India', 'New Zealand', 'Adelaide', 'ODI # 103', 'India', '6 runs', 'Dec 23, 1980', 65307]
[1981, 'Australia', 'India', 'Sydney', 'ODI # 104', 'Australia', '9 wickets', 'Jan 8, 1981', 65308]
[1981, 'India', 'New Zealand', 'Melbourne', 'ODI # 105', 'New Zealand', '10 wickets', 'Jan 10, 1981', 65309]
[1981, 'Australia', 'India', 'Melbourne', 'ODI # 106', 'Australia', '7 wickets', 'Jan 11, 1981', 65310]
[1981, 'Australia', 'New Zealand', 'Sydney', 'ODI # 107', 'New Zealand', '1 run', 'Jan 13, 1981', 65311]
[1981, 'Australia', 'India', 'Sydney', 'ODI # 108', 'Australia', '27 runs', 'Jan 15, 1981', 65312]
[1981, 'India', 'New Zealand', 'Brisbane', 'ODI # 109', 'New Zealand', '22 runs', 'Jan 18, 1981', 65313]
